pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
15100,XX,cde_fo,OPTCUR,USDINR,USDINR26MAR86.75CE,CE,USDINR26MAR86.75CE,,1,,,,,,25000,1,1459089000,1000,4,8.675e+08,CDS,OPTCUR,1459089000,,1459062000,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1459036800,1459089000,,,,,,315513000,0,1,0,1,0,1.17e+07,8.6e+06,1,1,1,0,0,1,0,1e+12,0.75,0,10000
15103,XX,cde_fo,OPTCUR,USDJPY,USDJPY25DEC145.5CE,CE,USDJPY25DEC145.5CE,,43,,,,,,100000,1,1451485800,1000,4,1.455e+09,CDS,OPTCUR,1451485800,,1451458800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1451433600,1451485800,,,,,,315513000,0,1,0,1,0,4.37e+07,2.91e+07,5877,1,1,0,0,100,0,1e+12,0,0,10000
15104,XX,cde_fo,OPTCUR,USDJPY,USDJPY25DEC145.5PE,PE,USDJPY25DEC145.5PE,,43,,,,,,100000,1,1451485800,1000,4,1.455e+09,CDS,OPTCUR,1451485800,,1451458800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1451433600,1451485800,,,,,,315513000,0,1,0,1,0,1.137e+08,8.81e+07,5877,1,1,0,0,100,0,1e+12,0,0,10000
15105,XX,cde_fo,OPTCUR,USDJPY,USDJPY25DEC146CE,CE,USDJPY25DEC146CE,,43,,,,,,100000,1,1451485800,1000,4,1.46e+09,CDS,OPTCUR,1451485800,,1451458800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1451433600,1451485800,,,,,,315513000,0,1,0,1,0,4.18e+07,2.76e+07,5877,1,1,0,0,100,0,1e+12,0,0,10000
15106,XX,cde_fo,OPTCUR,USDJPY,USDJPY25DEC146PE,PE,USDJPY25DEC146PE,,43,,,,,,100000,1,1451485800,1000,4,1.46e+09,CDS,OPTCUR,1451485800,,1451458800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1451433600,1451485800,,,,,,315513000,0,1,0,1,0,1.175e+08,9.13e+07,5877,1,1,0,0,100,0,1e+12,0,0,10000
15107,XX,cde_fo,OPTCUR,USDJPY,USDJPY25DEC146.5CE,CE,USDJPY25DEC146.5CE,,43,,,,,,100000,1,1451485800,1000,4,1.465e+09,CDS,OPTCUR,1451485800,,1451458800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1451433600,1451485800,,,,,,315513000,0,1,0,1,0,4e+07,2.64e+07,5877,1,1,0,0,100,0,1e+12,0,0,10000
15108,XX,cde_fo,OPTCUR,USDJPY,USDJPY25DEC146.5PE,PE,USDJPY25DEC146.5PE,,43,,,,,,100000,1,1451485800,1000,4,1.465e+09,CDS,OPTCUR,1451485800,,1451458800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1451433600,1451485800,,,,,,315513000,0,1,0,1,0,1.213e+08,9.47e+07,5877,1,1,0,0,100,0,1e+12,0,0,10000
15109,XX,cde_fo,OPTCUR,USDJPY,USDJPY25DEC147CE,CE,USDJPY25DEC147CE,,43,,,,,,100000,1,1451485800,1000,4,1.47e+09,CDS,OPTCUR,1451485800,,1451458800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1451433600,1451485800,,,,,,315513000,0,1,0,1,0,3.83e+07,2.51e+07,5877,1,1,0,0,100,0,1e+12,0,0,10000
8263,XX,cde_fo,OPTCUR,GBPINR,GBPINR25704112.5PE,PE,GBPINR25704112.5PE,,26,,,,,,25000,1,1436106600,1000,4,1.125e+09,CDS,OPTCUR,1436106600,,1436079600,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1436054400,1436106600,,,,,,315513000,0,1,0,1,0,1.7875e+07,8.625e+06,1,1,1,0,0,1,0,1e+12,1.25,0,10000
8264,XX,cde_fo,OPTCUR,EURINR,EURINR25627101.25PE,PE,EURINR25627101.25PE,,25,,,,,,25000,1,1435501800,1000,4,1.0125e+09,CDS,OPTCUR,1435501800,,1435474800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1435449600,1435501800,,,,,,315513000,0,1,0,1,0,5.945e+07,4.205e+07,1,1,1,0,0,1,0,1e+12,1.25,0,10000
15110,XX,cde_fo,OPTCUR,USDJPY,USDJPY25DEC147PE,PE,USDJPY25DEC147PE,,43,,,,,,100000,1,1451485800,1000,4,1.47e+09,CDS,OPTCUR,1451485800,,1451458800,,0,0,0,0,0,"            ",0,0,,,,,,,,,,,CUR,,,,,,,1451433600,1451485800,,,,,,315513000,0,1,0,1,0,1.251e+08,9.81e+07,5877,1,1,0,0,100,0,1e+12,0,0,10000
